index,latency_us,convert_us,run_us,argmax_us,snr_db,label,pred,correct
0,851,2.3,847.4,0.2,16,4,4,1
1,808.6,2.7,804.9,0.2,-6,11,15,0
2,817.8,2,815,0.1,26,22,22,1
3,772.7,1.8,769.9,0.2,30,8,8,1
4,766.3,2.1,763.3,0.2,26,4,4,1
5,776.8,1.8,774.2,0.1,-10,4,21,0
6,758,2,755.2,0.1,2,15,16,0
7,765.7,2.1,762.7,0.1,-10,1,18,0
8,767.6,1.7,765.1,0.1,-14,4,20,0
9,753.2,1.9,750.5,0.2,26,5,5,1
10,785.7,1.9,782.8,0.1,-2,12,11,0
11,747,2.1,744.1,0.1,-14,22,15,0
12,758,1.8,755.3,0.1,-14,16,15,0
13,741.4,1.9,738.6,0.1,-12,11,15,0
14,737.3,1.9,734.7,0.1,22,10,10,1
15,745.8,1.7,743.3,0.1,22,23,23,1
16,737.3,1.7,734.9,0.1,22,17,17,1
17,1123.5,2.3,1118.3,0.4,10,14,16,0
18,1557.5,3.9,1552,0.1,-2,23,9,0
19,834.1,2.2,830.9,0.1,-14,0,18,0
20,763.5,2,760.5,0.1,26,22,22,1
21,713.1,1.8,710.5,0.1,4,19,19,1
22,706.3,1.6,703.9,0.1,12,12,12,1
23,717.6,1.6,715.1,0.1,-14,7,15,0
24,702.1,1.6,699.6,0.1,-20,1,7,0
25,741.5,1.5,739,0.1,8,15,16,0
26,767.9,1.9,765.1,0.2,26,7,7,1
27,724.5,1.6,722,0.1,-12,19,20,0
28,701.2,2.1,698.2,0.1,-12,22,21,0
29,688.1,1.6,685.7,0.1,0,8,8,1
30,731.7,1.5,729.2,0.1,-14,23,15,0
31,698,1.9,695.2,0.1,2,7,6,0
32,683.9,1.5,681.6,0.1,6,5,5,1
33,681.4,1.5,679.1,0.2,-12,3,21,0
34,688.3,1.5,686,0.1,8,16,16,1
35,804.8,1.6,802.1,0.1,-20,0,4,0
36,707.3,2,704.6,0.1,-12,14,10,0
37,694.1,1.6,691.7,0.2,2,11,15,0
38,684.3,1.8,681.7,0.1,-12,19,12,0
39,694.5,1.5,692.2,0.1,18,12,12,1
40,682.9,1.7,680.5,0.1,14,20,20,1
41,682.3,1.7,679.7,0.1,22,18,17,0
42,691.5,1.3,689.2,0.1,-14,7,15,0
43,684.1,1.5,681.6,0.1,-12,8,18,0
44,686.6,1.4,684.5,0.1,-10,6,15,0
45,742,1.9,739.3,0.1,-18,0,15,0
46,691.6,1.5,689.4,0.1,20,9,9,1
47,686.5,1.4,684.3,0.2,-12,3,15,0
48,690.8,2.4,687.5,0.1,-10,13,12,0
49,682.5,2.2,679.4,0.1,24,4,4,1
50,684.7,2.2,681.7,0.1,4,21,21,1
51,704.1,2.2,701,0.1,28,22,22,1
52,691.8,2.6,688.4,0.1,26,19,19,1
53,682.6,2.2,679.5,0.1,20,17,17,1
54,691.1,2.2,687.9,0.1,-2,0,0,1
55,736,2.1,733.1,0.1,22,0,0,1
56,702.5,2.6,699.1,0.1,20,15,15,1
57,751.6,2.3,748.5,0.1,-4,15,16,0
58,753.6,2.1,750.5,0.1,0,23,23,1
59,730.4,2.2,727.4,0.1,-6,6,4,0
60,796,2.2,793,0.1,12,4,4,1
61,732.1,1.4,729.7,0.1,4,22,22,1
62,735.4,1.7,732.7,0.1,-18,20,18,0
63,705,1.6,702.6,0.1,-6,20,19,0
64,713.8,1.6,711.2,0.2,18,7,7,1
65,692,1.6,689.7,0.1,0,18,18,1
66,690.9,1.6,688.5,0.1,-6,0,0,1
67,686.5,1.6,684.1,0.1,22,16,16,1
68,680.9,1.7,678.3,0.1,14,17,17,1
69,681.3,1.5,679.1,0.2,6,13,15,0
70,687.8,1.6,685.4,0.1,12,13,13,1
71,697.9,1.7,695.4,0.1,2,15,9,0
72,687.5,1.6,685,0.1,26,23,23,1
73,682.5,1.7,680,0.1,-6,1,17,0
74,731.6,1.4,729.5,0.2,2,14,14,1
75,746.7,2.7,743.1,0.1,10,1,1,1
76,690.5,2.3,687.5,0.2,-12,18,18,1
77,725.4,2.2,722.3,0.1,12,6,6,1
78,702.5,2.3,699.3,0.1,16,20,19,0
79,772.1,1.5,769.8,0.1,2,4,4,1
80,733.1,1.8,730.5,0.1,22,10,10,1
81,691,1.5,688.7,0.1,-8,7,21,0
82,691.5,1.9,688.7,0,-14,22,21,0
83,694.7,1.3,692.4,0.1,-16,10,12,0
84,707.5,1.9,704.9,0.1,-20,22,15,0
85,688.7,1.6,686.4,0.1,14,3,3,1
86,691.7,1.6,689.3,0.2,-4,14,16,0
87,682.3,1.5,680,0.1,26,16,16,1
88,687.9,1.5,685.6,0.2,10,11,11,1
89,680.6,1.5,678.3,0.1,-18,23,15,0
90,680.6,1.5,678.4,0.1,8,16,14,0
91,687,1.5,684.6,0.1,-12,16,15,0
92,682.1,1.4,680,0.1,18,18,18,1
93,688.7,1.5,686.3,0.1,-4,0,0,1
94,743.8,1.5,741.5,0.1,-14,15,17,0
95,1163,1.8,1159.3,0.3,-10,4,7,0
96,1035.3,3.2,1031.3,0.1,-4,6,15,0
97,814.8,2.5,811.4,0.1,12,9,9,1
98,778.2,2.2,775.2,0.1,6,12,12,1
99,772.7,2,769.7,0.2,14,22,22,1
100,770,1.6,767.5,0.1,0,21,21,1
101,758,2,755,0.2,16,13,13,1
102,779.4,1.8,776.8,0.1,24,17,17,1
103,752.4,1.9,749.7,0.1,16,2,2,1
104,768.6,1.9,765.8,0.1,12,3,3,1
105,761.6,1.8,758.9,0.1,30,10,10,1
106,747.2,1.7,744.7,0.1,0,0,0,1
107,754.5,1.6,751.9,0.1,18,23,23,1
108,742.6,1.8,740,0.1,6,13,13,1
109,740.8,1.7,738.3,0.1,6,17,17,1
110,768.1,1.7,765.6,0.1,20,21,21,1
111,767.8,1.8,765.2,0.1,14,20,20,1
112,896.6,1.8,894,0.1,2,6,7,0
113,794.3,2.4,791.1,0.1,-14,16,15,0
114,745.1,1.8,742.5,0.1,16,15,15,1
115,750.5,1.6,747.8,0.2,-2,9,9,1
116,737.5,1.8,735,0.1,18,19,19,1
117,738.6,1.6,736.2,0.1,0,13,16,0
118,741.5,1.6,739,0.1,28,1,1,1
119,734.2,1.8,731.6,0.1,-12,23,10,0
120,746.9,1.7,744.5,0.1,28,4,4,1
121,754.6,1.5,752.1,0.1,6,9,9,1
122,727.1,1.6,724.7,0.1,4,10,11,0
123,735.4,1.8,732.8,0.1,18,22,22,1
124,727.5,1.5,725.1,0.1,-4,2,17,0
125,724.3,1.6,721.8,0.1,-16,10,10,1
126,731.9,1.6,729.4,0.1,-10,20,20,1
127,722.8,1.7,720.3,0.1,26,0,0,1
128,802.5,1.7,800,0.1,-10,7,15,0
129,816.4,2.2,813.3,0.2,0,22,22,1
130,1174.3,2.4,1168.7,0.4,-10,16,12,0
131,1923.5,4.3,1917,0.3,22,13,13,1
